P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,T.DATE,T.PRICE,STATUS,PROFITPCT
ASX-ANZ,2020-01-21,25.51,2020-10-09,26.58,2020-02-06,26.11,OPEN,2.35
ASX-A2M,2020-01-22,15.59,2020-07-05,23.89,2020-02-06,14.9,OPEN,-4.43
ASX-VVR,2020-01-22,2.75,2020-03-10,2.89,2020-02-06,2.73,OPEN,-0.73
ASX-VVR,2020-01-22,2.75,2020-07-06,3.05,2020-02-06,2.73,OPEN,-0.73
ASX-VVR,2020-01-22,2.75,2020-10-04,2.91,2020-02-06,2.73,OPEN,-0.73
ASX-A2M,2020-01-22,15.59,2020-04-15,19.81,2020-02-06,14.9,OPEN,-4.43
ASX-VVR,2020-01-22,2.75,2020-02-13,2.83,2020-02-06,2.73,OPEN,-0.73
ASX-A2M,2020-01-22,15.59,2020-02-25,17.25,2020-02-06,14.9,OPEN,-4.43
ASX-A2M,2020-01-22,15.59,2020-10-24,34.02,2020-02-06,14.9,OPEN,-4.43
ASX-BOQ,2020-01-22,7.4,2020-12-09,8.02,2020-02-06,7.63,OPEN,3.11
0175.HK,2020-01-22,14.1,2020-11-15,18.96,2020-02-06,13.38,OPEN,-5.11
DLR,2020-01-22,126.28,2020-07-24,139.05,2020-02-05,123.86,OPEN,-1.92
RIO,2020-01-22,60.5,2020-10-06,68.82,2020-02-05,55.68,OPEN,-7.97
ASX-A2M,2020-01-23,15.31,2020-03-10,18.0,2020-02-06,14.9,OPEN,-2.68
ASX-A2M,2020-01-23,15.31,2020-08-10,19.97,2020-02-06,14.9,OPEN,-2.68
ASX-A2M,2020-01-23,15.31,2020-06-09,18.2,2020-02-06,14.9,OPEN,-2.68
ASX-A2M,2020-01-23,15.31,2020-10-07,15.72,2020-02-06,14.9,OPEN,-2.68
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-06,14.9,OPEN,-2.68
ASX-A2M,2020-01-23,15.31,2020-02-03,15.78,2020-02-03,14.16,CLOSED,-7.51
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-06,14.9,OPEN,-2.68
ASX-A2M,2020-01-23,15.31,2020-03-04,18.48,2020-02-06,14.9,OPEN,-2.68
NFLX,2020-01-23,349.6,2020-08-04,491.61,2020-02-05,369.67,OPEN,5.74
ITA,2020-01-23,231.24,2020-05-25,239.52,2020-02-05,234.89,OPEN,1.58
NFLX,2020-01-23,349.6,2020-07-14,453.54,2020-02-05,369.67,OPEN,5.74
ITA,2020-01-23,231.24,2021-01-08,253.55,2020-02-05,234.89,OPEN,1.58
ITA,2020-01-23,231.24,2020-04-25,234.01,2020-02-05,234.01,CLOSED,1.2
ASX-CQR,2020-01-24,4.67,2020-11-19,4.97,2020-02-06,4.9,OPEN,4.93
ASX-CQR,2020-01-24,4.67,2020-07-04,4.99,2020-02-06,4.9,OPEN,4.93
ASX-NAN,2020-01-28,6.83,2020-12-18,9.64,2020-02-06,7.15,OPEN,4.69
WMT,2020-01-28,116.6,2021-01-15,129.36,2020-02-05,116.81,OPEN,0.18
DIS,2020-01-28,138.37,2020-08-19,148.61,2020-02-05,141.37,OPEN,2.17
DIS,2020-01-28,138.37,2020-07-16,147.68,2020-02-05,141.37,OPEN,2.17
ASX-CWN,2020-01-29,11.55,2020-04-01,12.18,2020-02-06,11.61,OPEN,0.52
ASX-CWN,2020-01-29,11.55,2020-07-21,12.53,2020-02-06,11.61,OPEN,0.52
ASX-AGL,2020-01-29,20.14,2020-07-03,21.37,2020-02-06,19.66,OPEN,-2.38
ASX-CWN,2020-01-29,11.55,2020-04-11,12.08,2020-02-06,11.61,OPEN,0.52
ASX-CWN,2020-01-29,11.55,2020-07-24,12.34,2020-02-06,11.61,OPEN,0.52
0268.HK,2020-01-29,8.71,2020-06-09,9.48,2020-02-04,9.48,CLOSED,8.84
0268.HK,2020-01-29,8.71,2020-09-12,11.65,2020-02-06,9.65,OPEN,10.79
ITA,2020-01-29,232.11,2021-01-10,265.51,2020-02-05,234.89,OPEN,1.2
ITA,2020-01-29,232.11,2020-05-30,245.18,2020-02-05,234.89,OPEN,1.2
ITA,2020-01-29,232.11,2020-05-21,241.3,2020-02-05,234.89,OPEN,1.2
ASX-CWN,2020-01-30,11.6,2020-04-12,12.14,2020-02-06,11.61,OPEN,0.09
ASX-IVC,2020-01-30,13.11,2020-12-01,14.77,2020-02-06,13.3,OPEN,1.45
ASX-IVC,2020-01-30,13.11,2020-12-01,14.77,2020-02-06,13.3,OPEN,1.45
