P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
ASX-ANZ,2020-01-21,25.51,2020-10-09,26.58,2020-02-13,26.58,CLOSED,4.19,46.0,9.0,100.0
ASX-A2M,2020-01-22,15.59,2020-07-05,23.89,2020-02-25,14.93,OPEN,-4.23,-31.0,21.0,-8.0
ASX-VVR,2020-01-22,2.75,2020-03-10,2.89,2020-02-17,2.89,CLOSED,5.09,49.0,54.0,100.0
ASX-VVR,2020-01-22,2.75,2020-07-06,3.05,2020-02-25,2.76,OPEN,0.36,3.0,20.0,3.0
ASX-VVR,2020-01-22,2.75,2020-10-04,2.91,2020-02-17,2.91,CLOSED,5.82,56.0,10.0,100.0
ASX-A2M,2020-01-22,15.59,2020-04-15,19.81,2020-02-25,14.93,OPEN,-4.23,-31.0,40.0,-16.0
ASX-VVR,2020-01-22,2.75,2020-02-13,2.83,2020-02-13,2.78,CLOSED,1.09,12.0,100.0,37.0
ASX-A2M,2020-01-22,15.59,2020-02-25,17.25,2020-02-25,14.93,CLOSED,-4.23,-31.0,100.0,-40.0
ASX-A2M,2020-01-22,15.59,2020-10-24,34.02,2020-02-25,14.93,OPEN,-4.23,-31.0,12.0,-4.0
ASX-BOQ,2020-01-22,7.4,2020-12-09,8.02,2020-02-25,7.43,OPEN,0.41,3.0,11.0,5.0
0175.HK,2020-01-22,14.1,2020-11-15,18.96,2020-02-24,14.8,OPEN,4.96,38.0,11.0,14.0
DLR,2020-01-22,126.28,2020-07-24,139.05,2020-02-24,135.27,OPEN,7.12,54.0,18.0,70.0
RIO,2020-01-22,60.5,2020-10-06,68.82,2020-02-24,51.23,OPEN,-15.32,-117.0,13.0,-111.0
ASX-A2M,2020-01-23,15.31,2020-03-10,18.0,2020-02-25,14.93,OPEN,-2.48,-19.0,70.0,-14.0
ASX-A2M,2020-01-23,15.31,2020-08-10,19.97,2020-02-25,14.93,OPEN,-2.48,-19.0,16.0,-8.0
ASX-A2M,2020-01-23,15.31,2020-06-09,18.2,2020-02-25,14.93,OPEN,-2.48,-19.0,24.0,-13.0
ASX-A2M,2020-01-23,15.31,2020-10-07,15.72,2020-02-17,15.72,CLOSED,2.68,27.0,10.0,100.0
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-13,15.2,CLOSED,-0.72,-9.0,100.0,-8.0
ASX-A2M,2020-01-23,15.31,2020-02-03,15.78,2020-02-03,14.16,CLOSED,-7.51,-172.0,100.0,-245.0
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-13,15.2,CLOSED,-0.72,-9.0,100.0,-8.0
ASX-A2M,2020-01-23,15.31,2020-03-04,18.48,2020-02-25,14.93,OPEN,-2.48,-19.0,80.0,-12.0
NFLX,2020-01-23,349.6,2020-08-04,491.61,2020-02-24,368.7,OPEN,5.46,43.0,16.0,13.0
ITA,2020-01-23,231.24,2020-05-25,239.52,2020-02-11,239.52,CLOSED,3.58,47.0,15.0,100.0
NFLX,2020-01-23,349.6,2020-07-14,453.54,2020-02-24,368.7,OPEN,5.46,43.0,18.0,18.0
ITA,2020-01-23,231.24,2021-01-08,253.55,2020-02-24,226.76,OPEN,-1.94,-15.0,9.0,-20.0
ITA,2020-01-23,231.24,2020-04-25,234.01,2020-02-05,234.01,CLOSED,1.2,23.0,14.0,100.0
ASX-CQR,2020-01-24,4.67,2020-11-19,4.97,2020-02-10,4.97,CLOSED,6.42,95.0,6.0,100.0
ASX-CQR,2020-01-24,4.67,2020-07-04,4.99,2020-02-17,4.99,CLOSED,6.85,72.0,15.0,100.0
ASX-NAN,2020-01-28,6.83,2020-12-18,9.64,2020-02-25,6.69,OPEN,-2.05,-18.0,9.0,-5.0
WMT,2020-01-28,116.6,2021-01-15,129.36,2020-02-24,116.32,OPEN,-0.24,-2.0,8.0,-2.0
DIS,2020-01-28,138.37,2020-08-19,148.61,2020-02-24,133.01,OPEN,-3.87,-36.0,13.0,-52.0
DIS,2020-01-28,138.37,2020-07-16,147.68,2020-02-24,133.01,OPEN,-3.87,-36.0,16.0,-58.0
ASX-CWN,2020-01-29,11.55,2020-04-01,12.18,2020-02-25,11.01,OPEN,-4.68,-44.0,43.0,-86.0
ASX-CWN,2020-01-29,11.55,2020-07-21,12.53,2020-02-25,11.01,OPEN,-4.68,-44.0,16.0,-55.0
ASX-AGL,2020-01-29,20.14,2020-07-03,21.37,2020-02-25,20.59,OPEN,2.23,21.0,17.0,37.0
ASX-CWN,2020-01-29,11.55,2020-04-11,12.08,2020-02-25,11.01,OPEN,-4.68,-44.0,37.0,-102.0
ASX-CWN,2020-01-29,11.55,2020-07-24,12.34,2020-02-25,11.01,OPEN,-4.68,-44.0,15.0,-68.0
0268.HK,2020-01-29,8.71,2020-06-09,9.48,2020-02-04,9.48,CLOSED,8.84,371.0,5.0,100.0
0268.HK,2020-01-29,8.71,2020-09-12,11.65,2020-02-24,10.38,OPEN,19.17,186.0,11.0,57.0
ITA,2020-01-29,232.11,2021-01-10,265.51,2020-02-24,226.76,OPEN,-2.3,-22.0,7.0,-16.0
ITA,2020-01-29,232.11,2020-05-30,245.18,2020-02-24,226.76,OPEN,-2.3,-22.0,21.0,-41.0
ITA,2020-01-29,232.11,2020-05-21,241.3,2020-02-24,226.76,OPEN,-2.3,-22.0,23.0,-58.0
ASX-CWN,2020-01-30,11.6,2020-04-12,12.14,2020-02-25,11.01,OPEN,-5.09,-49.0,36.0,-109.0
ASX-IVC,2020-01-30,13.11,2020-12-01,14.77,2020-02-25,12.92,OPEN,-1.45,-14.0,8.0,-11.0
ASX-IVC,2020-01-30,13.11,2020-12-01,14.77,2020-02-25,12.92,OPEN,-1.45,-14.0,8.0,-11.0
ASX-CWN,2020-01-30,11.6,2020-07-25,12.39,2020-02-25,11.01,OPEN,-5.09,-49.0,15.0,-75.0
2588.HK,2020-01-30,71.4,2020-03-18,77.04,2020-02-24,72.3,OPEN,1.26,13.0,52.0,16.0
2588.HK,2020-01-30,71.4,2020-04-03,78.62,2020-02-24,72.3,OPEN,1.26,13.0,39.0,12.0
2588.HK,2020-01-30,71.4,2020-06-16,85.34,2020-02-24,72.3,OPEN,1.26,13.0,18.0,6.0
2588.HK,2020-01-30,71.4,2020-07-10,83.65,2020-02-24,72.3,OPEN,1.26,13.0,15.0,7.0
2588.HK,2020-01-30,71.4,2020-05-17,73.67,2020-02-04,73.67,CLOSED,3.18,160.0,5.0,100.0
NFLX,2020-01-30,347.74,2020-06-26,495.11,2020-02-24,368.7,OPEN,6.03,61.0,17.0,14.0
MMM,2020-01-30,162.51,2020-10-17,184.03,2020-02-24,152.55,OPEN,-6.13,-62.0,10.0,-46.0
NFLX,2020-01-30,347.74,2020-05-05,442.08,2020-02-24,368.7,OPEN,6.03,61.0,26.0,22.0
MMM,2020-01-30,162.51,2020-11-27,185.75,2020-02-24,152.55,OPEN,-6.13,-62.0,8.0,-43.0
DIS,2020-01-30,137.81,2020-07-18,147.08,2020-02-05,147.08,CLOSED,6.73,283.0,4.0,100.0
MSFT,2020-01-30,172.78,2020-11-30,184.18,2020-02-05,184.18,CLOSED,6.6,277.0,2.0,100.0
ASX-CWN,2020-01-31,11.7,2020-04-13,12.24,2020-02-25,11.01,OPEN,-5.9,-59.0,34.0,-128.0
ASX-CWN,2020-01-31,11.7,2020-07-26,12.5,2020-02-25,11.01,OPEN,-5.9,-59.0,14.0,-86.0
0175.HK,2020-01-31,12.54,2020-10-23,18.85,2020-02-24,14.8,OPEN,18.02,189.0,9.0,36.0
2208.HK,2020-01-31,8.23,2020-12-26,10.94,2020-02-24,8.42,OPEN,2.31,24.0,7.0,7.0
0175.HK,2020-01-31,12.54,2020-11-24,16.86,2020-02-24,14.8,OPEN,18.02,189.0,8.0,52.0
AMZN,2020-01-31,2008.72,2020-08-08,2650.71,2020-02-24,2009.29,OPEN,0.03,0.0,13.0,0.0
AMZN,2020-01-31,2008.72,2020-09-23,2551.88,2020-02-24,2009.29,OPEN,0.03,0.0,10.0,0.0
ASX-VVR,2020-02-03,2.75,2020-04-27,2.92,2020-02-17,2.92,CLOSED,6.18,111.0,17.0,100.0
ASX-VVR,2020-02-03,2.75,2020-09-13,3.23,2020-02-25,2.76,OPEN,0.36,4.0,10.0,2.0
ASX-VVR,2020-02-03,2.75,2020-08-22,2.9,2020-02-17,2.9,CLOSED,5.45,98.0,7.0,100.0
ASX-VVR,2020-02-03,2.75,2020-03-11,2.81,2020-02-13,2.81,CLOSED,2.18,55.0,27.0,100.0
1299.HK,2020-02-03,78.5,2020-09-12,94.12,2020-02-25,77.0,OPEN,-1.91,-22.0,10.0,-10.0
0857.HK,2020-02-03,3.38,2020-10-30,5.39,2020-02-24,3.22,OPEN,-4.73,-57.0,8.0,-8.0
0175.HK,2020-02-03,12.6,2020-10-26,18.94,2020-02-24,14.8,OPEN,17.46,210.0,8.0,35.0
