NEW,P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-ANZ,2020-01-21,25.51,2020-10-09,26.58,4.19,4.0,2020-02-13,26.58,CLOSED,4.19,46.0,9.0,100.0
+,DLR,2020-01-22,126.28,2020-07-24,139.05,10.11,14.0,2020-03-13,139.05,CLOSED,10.11,50.0,28.0,100.0
-,ASX-VVR,2020-01-22,2.75,2020-03-10,2.89,5.09,27.0,2020-02-17,2.89,CLOSED,5.09,49.0,54.0,100.0
-,ASX-VVR,2020-01-22,2.75,2020-10-04,2.91,5.82,6.0,2020-02-17,2.91,CLOSED,5.82,56.0,10.0,100.0
-,ASX-VVR,2020-01-22,2.75,2020-02-13,2.83,2.91,33.0,2020-02-13,2.78,CLOSED,1.09,12.0,100.0,37.0
-,ASX-A2M,2020-01-22,15.59,2020-02-25,17.25,10.65,79.0,2020-02-25,15.14,CLOSED,-2.89,-21.0,100.0,-27.0
-,ASX-A2M,2020-01-22,15.59,2020-07-05,23.89,53.24,81.0,2020-03-16,15.2,OPEN,-2.5,-12.0,33.0,-5.0
-,ASX-VVR,2020-01-22,2.75,2020-07-06,3.05,10.91,17.0,2020-03-16,2.28,OPEN,-17.09,-80.0,33.0,-157.0
-,ASX-A2M,2020-01-22,15.59,2020-04-15,19.81,27.07,81.0,2020-03-16,15.2,OPEN,-2.5,-12.0,64.0,-9.0
-,ASX-A2M,2020-01-22,15.59,2020-10-24,34.02,118.22,108.0,2020-03-16,15.2,OPEN,-2.5,-12.0,20.0,-2.0
-,ASX-BOQ,2020-01-22,7.4,2020-12-09,8.02,8.38,7.0,2020-03-16,5.59,OPEN,-24.46,-114.0,17.0,-292.0
-,0175.HK,2020-01-22,14.1,2020-11-15,18.96,34.47,29.0,2020-03-13,12.86,OPEN,-8.79,-43.0,17.0,-26.0
-,RIO,2020-01-22,60.5,2020-10-06,68.82,13.75,13.0,2020-03-13,43.9,OPEN,-27.44,-136.0,20.0,-200.0
-,ASX-A2M,2020-01-23,15.31,2020-03-10,18.0,17.57,94.0,2020-03-10,16.04,CLOSED,4.77,26.0,100.0,27.0
-,ASX-A2M,2020-01-23,15.31,2020-10-07,15.72,2.68,3.0,2020-02-17,15.72,CLOSED,2.68,27.0,10.0,100.0
-,ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,8.62,103.0,2020-02-13,15.2,CLOSED,-0.72,-9.0,100.0,-8.0
-,ASX-A2M,2020-01-23,15.31,2020-02-03,15.78,3.07,70.0,2020-02-03,14.16,CLOSED,-7.51,-172.0,100.0,-245.0
-,ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,8.62,103.0,2020-02-13,15.2,CLOSED,-0.72,-9.0,100.0,-8.0
-,ASX-A2M,2020-01-23,15.31,2020-03-04,18.48,20.71,127.0,2020-03-04,16.18,CLOSED,5.68,35.0,100.0,27.0
-,NFLX,2020-01-23,349.6,2020-08-04,491.61,40.62,53.0,2020-02-17,491.61,CLOSED,40.62,409.0,13.0,100.0
